,id,type
873,FUN_022103,gene
874,FUN_022250,gene
875,FUN_022255,gene
876,FUN_022265,gene
877,FUN_022333,gene
878,FUN_022336,gene
879,FUN_021107,gene
880,FUN_022380,gene
881,FUN_022386,gene
882,FUN_022428,gene
883,FUN_022518,gene
884,FUN_022519,gene
885,FUN_023699,gene
886,FUN_022909,gene
887,FUN_022997,gene
888,FUN_022820,gene
889,FUN_023055,gene
890,FUN_023075,gene
891,FUN_023198,gene
892,FUN_023240,gene
893,FUN_023268,gene
894,FUN_023357,gene
895,FUN_023371,gene
896,FUN_023383,gene
897,FUN_023423,gene
898,FUN_023499,gene
899,FUN_022874,gene
900,FUN_023588,gene
901,FUN_022875,gene
902,FUN_024001,gene
903,FUN_024750,gene
904,FUN_024905,gene
905,FUN_025144,gene
906,FUN_024034,gene
907,FUN_024074,gene
908,FUN_024136,gene
909,FUN_024208,gene
910,FUN_024210,gene
911,FUN_023956,gene
912,FUN_024442,gene
913,FUN_024445,gene
914,FUN_023971,gene
915,FUN_024559,gene
916,FUN_024560,gene
917,FUN_024564,gene
918,FUN_025367,gene
919,FUN_025372,gene
920,FUN_025527,gene
921,FUN_025658,gene
922,FUN_026582,gene
923,FUN_026739,gene
924,FUN_025725,gene
925,FUN_025881,gene
926,FUN_027097,gene
927,FUN_025910,gene
928,FUN_025752,gene
929,FUN_026028,gene
930,FUN_026032,gene
931,FUN_026111,gene
932,FUN_026167,gene
933,FUN_026181,gene
934,FUN_026182,gene
935,FUN_025768,gene
936,FUN_025783,gene
937,FUN_026309,gene
938,FUN_026314,gene
939,FUN_027811,gene
940,FUN_027830,gene
941,FUN_027850,gene
942,FUN_027853,gene
943,FUN_027977,gene
944,FUN_027996,gene
945,FUN_028007,gene
946,FUN_028093,gene
947,FUN_028114,gene
948,FUN_028170,gene
949,FUN_028251,gene
950,FUN_028277,gene
951,FUN_028303,gene
952,FUN_028444,gene
953,FUN_028510,gene
954,FUN_027424,gene
955,FUN_028886,gene
956,FUN_028906,gene
957,FUN_028947,gene
958,FUN_028956,gene
959,FUN_028961,gene
960,FUN_028982,gene
961,FUN_028987,gene
962,FUN_029117,gene
963,FUN_030659,gene
964,FUN_030719,gene
965,FUN_029414,gene
966,FUN_031068,gene
967,FUN_031190,gene
968,FUN_031205,gene
969,FUN_029434,gene
970,FUN_031519,gene
971,FUN_031595,gene
972,FUN_031647,gene
973,FUN_031653,gene
974,FUN_031801,gene
975,FUN_031987,gene
976,FUN_032001,gene
977,FUN_029306,gene
978,FUN_032158,gene
979,FUN_032162,gene
980,FUN_032194,gene
981,FUN_032308,gene
982,FUN_032313,gene
983,FUN_032396,gene
984,FUN_032403,gene
985,FUN_032501,gene
986,FUN_032511,gene
987,FUN_032791,gene
988,FUN_032889,gene
989,FUN_032906,gene
990,FUN_032988,gene
991,FUN_033047,gene
992,FUN_033222,gene
993,FUN_033223,gene
994,FUN_029711,gene
995,FUN_029754,gene
996,FUN_029878,gene
997,FUN_029950,gene
998,FUN_030073,gene
999,FUN_029356,gene
1000,FUN_033843,gene
1001,FUN_033873,gene
1002,FUN_033992,gene
1003,FUN_033998,gene
1004,FUN_034109,gene
1005,FUN_034339,gene
1006,FUN_034386,gene
1007,FUN_034410,gene
1008,FUN_034422,gene
1009,FUN_034423,gene
1010,FUN_035689,gene
1011,FUN_035755,gene
1012,FUN_035771,gene
1013,FUN_035775,gene
1014,FUN_035863,gene
1015,FUN_035930,gene
1016,FUN_034911,gene
